start_dt,end,duration,duration_hours,facility,facility_id,waterbody,quantity,treated,reason,county,city,status,incident_id,lat,lon,sheet
2025-06-10 17:00:00,06/10/2025 19:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-11 11:00:00,06/11/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-14 17:00:00,06/14/2025 18:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-15 11:00:00,06/15/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-16 11:00:00,06/16/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP’s website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-17 11:00:00,06/17/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP’s website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-18 11:00:00,06/18/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-19 11:00:00,06/19/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-19 21:30:00,06/20/2025 08:00:00,9 Hours - Ended,9.0,NYCDEP North River WWTP,NY0026247,HUDSON RIVER,0 Gallons Estimated,Untreated,Weather Conditions - SCREEMS MATTED,New York,bronx,New,,-73.958,40.8253,April 1 - August 31 2025
2025-06-20 11:00:00,06/20/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-22 17:00:00,06/22/2025 18:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-23 11:00:00,06/23/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-24 00:35:00,06/24/2025 02:35:00,2 Hours - Ongoing,2.0,NYCDEP Wards Island WWTP,NY0026131,East River/ Hells Gate,0 Gallons Estimated,Partially Treated with Disinfection,System Capacity - Dry Weather Secondary Treatment Diversion,New York,"New York, NY",New,,-73.9245,40.7902,April 1 - August 31 2025
2025-06-24 00:35:00,06/24/2025 02:55:00,2 hours 10 min Hours - Ended,2.0,NYCDEP Wards Island WWTP,NY0026131,East River/ Hells Gate,0 Gallons Estimated,Partially Treated with Disinfection,System Capacity - Dry Weather Secondary Treatment Diversion,New York,"New York, NY",Update,,-73.9245,40.7902,April 1 - August 31 2025
2025-06-25 00:05:00,06/25/2025 03:58:00,2 Hours - Ongoing,2.0,NYCDEP Wards Island WWTP,NY0026131,HELLS GATE,0 Gallons per Minute Estimated,Partially Treated without Disinfection,Weather Conditions - DUE TO HOT WEATHER HYDRANTS OPEN,New York,NY,New,,-73.9245,40.7902,April 1 - August 31 2025
2025-06-25 00:05:00,06/25/2025 03:25:00,3 and 20 minutes Hours - Ended,,NYCDEP Wards Island WWTP,NY0026131,HELLS GATE,0 Gallons per Minute Estimated,Partially Treated without Disinfection,Weather Conditions - DUE TO HOT WEATHER HYDRANTS OPEN,New York,NY,Update,,-73.9245,40.7902,April 1 - August 31 2025
2025-06-27 11:00:00,06/27/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP’s website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-28 12:40:00,06/28/2025 14:40:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Pipe Break - Force Main Break,New York,Please see DEP's website below.,New,,-73.8258,40.7205,April 1 - August 31 2025
2025-06-28 12:40:00,06/28/2025 12:55:00,15 Minutes - Ended,0.25,NYCDEP Bowery Bay WWTP,NY0026158,Willow Lake,11250 Gallons Estimated,Untreated,"Pipe Break,Pipe Break - A force main break was discovered at the Park Drive East Pump Station.",Queens,Queens,Update,,-73.8258,40.7205,April 1 - August 31 2025
2025-06-28 12:40:00,06/28/2025 12:55:00,2 Hours - Ongoing,2.0,NYCDEP Bowery Bay WWTP,NY0026158,Please see DEP's website below.,11250 Gallons per Minute Estimated,Untreated,Pipe Break - Force Main Break,New York,Please see DEP's website below.,New,,-73.8258,40.7205,April 1 - August 31 2025
2025-07-01 11:00:00,07/01/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-07-02 11:00:00,07/02/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP’s website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.9245,40.7244,April 1 - August 31 2025
2025-07-09 11:00:00,07/09/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain conditions,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
